accuracy,precision,recall,f1_score,tp,tn,fp,fn,feature_method,model,seed,split_ratio,train_size,test_size,extraction_time,feature_size,train_time,pred_time,dataset,scale_pos_weight,threshold
0.986278993792878,0.965808357956944,0.9986905281536448,0.9819742489270388,2288,3750,81,3,tf-idf_ngram,xgboost,23,0.2,24487,6122,0.0823878693586079,29074,0.577415710968293,0.0022542278036811,SQLiV3.tsv,5000.0,0.05
0.995778809624314,0.999561403508772,0.9960664335664337,0.9978108581436078,2279,80,1,9,bert_en_uncased_L-12_H-768_A-12,bert_en_uncased_L-12_H-768_A-12,23,0.2,24487,6122,0.0,0,70.61641637967489,2.3272827538119536,SQLiV3.tsv,,
0.9851355766089512,0.9642255892255892,0.9973878972572922,0.9805264284185748,2291,3740,85,6,tf-idf_ngram,xgboost,6,0.2,24487,6122,0.0834205024497652,29196,0.482598500764496,0.0019423987342812,SQLiV3.tsv,5000.0,0.05
0.9974747474747476,0.9986905281536448,0.9986905281536448,0.9986905281536448,2288,82,3,3,bert_en_uncased_L-12_H-768_A-12,bert_en_uncased_L-12_H-768_A-12,6,0.2,24487,6122,0.0,0,70.62725064295603,2.3657764850642145,SQLiV3.tsv,,
0.9857889578569096,0.964545066211021,0.9982316534040672,0.9810992830762544,2258,3777,83,4,tf-idf_ngram,xgboost,34,0.2,24487,6122,0.0829493046476753,27216,0.5836119651599703,0.0049841244288497,SQLiV3.tsv,5000.0,0.05
0.9970098248611704,1.0,0.9968999114260408,0.9984475493457527,2251,83,0,7,bert_en_uncased_L-12_H-768_A-12,bert_en_uncased_L-12_H-768_A-12,34,0.2,24487,6122,0.0,0,69.38682902500435,2.3221387052474904,SQLiV3.tsv,,
0.9872590656648156,0.9682403433476396,0.9982300884955752,0.9830065359477124,2256,3788,74,4,tf-idf_ngram,xgboost,1984,0.2,24487,6122,0.0828831590508335,29147,0.5747240745515457,0.002173612570303,SQLiV3.tsv,5000.0,0.05
0.9969957081545064,0.998669623059867,0.99822695035461,0.9984482376413212,2252,71,3,4,bert_en_uncased_L-12_H-768_A-12,bert_en_uncased_L-12_H-768_A-12,1984,0.2,24487,6122,0.0,0,70.60725120223206,2.347299981014923,SQLiV3.tsv,,
0.9831754328650768,0.9585600669736292,0.998256320836966,0.9780055519965836,2290,3729,99,4,tf-idf_ngram,xgboost,1994,0.2,24487,6122,0.0821374165181874,27306,0.5619569723839883,0.0020542085579663,SQLiV3.tsv,5000.0,0.05
0.9987442444537464,1.0,0.9986899563318776,0.999344548831112,2287,99,0,3,bert_en_uncased_L-12_H-768_A-12,bert_en_uncased_L-12_H-768_A-12,1994,0.2,24487,6122,0.0,0,68.71639753841666,2.372605374489134,SQLiV3.tsv,,
0.9849722312969618,0.9625578460244004,0.9986905281536448,0.9802913453299056,2288,3742,89,3,tf-idf_ngram,xgboost,77,0.2,24487,6122,0.0814250505614325,29094,0.565365480803166,0.0025496222699479,SQLiV3.tsv,5000.0,0.05
0.9995793016407236,1.0,0.9995629370629371,0.9997814207650273,2287,89,0,1,bert_en_uncased_L-12_H-768_A-12,bert_en_uncased_L-12_H-768_A-12,77,0.2,24487,6122,0.0,0,68.47591198015978,2.299270361072635,SQLiV3.tsv,,
