accuracy,precision,recall,f1_score,tp,tn,fp,fn,feature_method,model,seed,split_ratio,train_size,test_size,extraction_time,feature_size,train_time,pred_time,dataset,class_weights,pass_aggressive_threshold
0.9890558640967004,0.973763440860215,0.9973568281938326,0.9854189336235039,2264,3791,61,6,tf-idf_ngram,PassiveAggressiveClassifier,13,0.2,24487,6122,0.08286838300311697,29157,0.05485970903768075,0.0006029785789332722,SQLiV3.tsv,"{1: 0.999, 0: 0.001}",-0.3
0.9982795698924732,1.0,0.9982332155477032,0.9991158267020336,2260,61,0,4,small_bert/bert_en_uncased_L-8_H-128_A-2,small_bert/bert_en_uncased_L-8_H-128_A-2,13,0.2,24487,6122,0.0,0,49.68436649266583,2.027283125026252,SQLiV3.tsv,,
0.9893825547206796,0.9750322858372794,0.996919014084507,0.985854189336235,2265,3792,58,7,tf-idf_ngram,PassiveAggressiveClassifier,27,0.2,24487,6122,0.076724577138571,29212,0.0468154211959935,0.0005681621448076,SQLiV3.tsv,"{1: 0.999, 0: 0.001}",-0.3
0.9995695221696084,1.0,0.9995584988962471,0.9997792007065576,2264,58,0,1,small_bert/bert_en_uncased_L-8_H-128_A-2,small_bert/bert_en_uncased_L-8_H-128_A-2,27,0.2,24487,6122,0.0,0,46.96269593632381,1.961663320461738,SQLiV3.tsv,,
0.9895459000326692,0.9750537634408604,0.9973603167619886,0.9860809047411918,2267,3791,58,6,tf-idf_ngram,PassiveAggressiveClassifier,42,0.2,24487,6122,0.077025503774038,29216,0.0463035617145565,0.0005713945430542,SQLiV3.tsv,"{1: 0.999, 0: 0.001}",-0.3
0.9974193548387096,1.0,0.9973533303925892,0.9986749116607776,2261,58,0,6,small_bert/bert_en_uncased_L-8_H-128_A-2,small_bert/bert_en_uncased_L-8_H-128_A-2,42,0.2,24487,6122,0.0,0,47.06738504076489,2.0107855848086778,SQLiV3.tsv,,
0.9887291734727214,0.9730538922155688,0.9973695747479177,0.9850617016670274,2275,3778,63,6,tf-idf_ngram,PassiveAggressiveClassifier,72,0.2,24487,6122,0.0777896988407065,29275,0.0462888303342248,0.000554103159663,SQLiV3.tsv,"{1: 0.999, 0: 0.001}",-0.3
0.9991445680068436,1.0,0.9991208791208792,0.9995602462620932,2273,63,0,2,small_bert/bert_en_uncased_L-8_H-128_A-2,small_bert/bert_en_uncased_L-8_H-128_A-2,72,0.2,24487,6122,0.0,0,47.88209391374394,2.1950202277830466,SQLiV3.tsv,,
0.9895459000326692,0.9746835443037974,0.9973202322465388,0.9858719646799118,2233,3825,58,6,tf-idf_ngram,PassiveAggressiveClassifier,84,0.2,24487,6122,0.0828181740397111,29187,0.0508274391184598,0.0005840125795829,SQLiV3.tsv,"{1: 0.999, 0: 0.001}",-0.3
0.998254037538193,0.9995517705064993,0.9986565158978952,0.9991039426523298,2230,57,1,3,small_bert/bert_en_uncased_L-8_H-128_A-2,small_bert/bert_en_uncased_L-8_H-128_A-2,84,0.2,24487,6122,0.0,0,50.823644235046785,2.261784752088569,SQLiV3.tsv,,
