accuracy,precision,recall,f1_score,tp,tn,fp,fn,feature_method,model,seed,split_ratio,train_size,test_size,extraction_time,feature_size,train_time,pred_time,dataset,class_weights,pass_aggressive_threshold
0.9893825547206796,0.9746018080068876,0.9973568281938326,0.9858480296102764,2264,3793,59,6,tf-idf_ngram,PassiveAggressiveClassifier,13,0.2,24487,6122,0.0750882681116586,29157,0.0360307655703682,0.000561385791857,SQLiV3.tsv,"{1: 0.999, 0: 0.001}",-0.3
0.0253981919931123,0.0,0.0,0.0,0,59,0,2264,bert_multi_cased_L-12_H-768_A-12,bert_multi_cased_L-12_H-768_A-12,13,0.2,24487,6122,0.0,0,78.18969141085063,2.276095859562073,SQLiV3.tsv,,
0.98921920940869,0.9742046431642304,0.9973591549295776,0.985645933014354,2266,3790,60,6,tf-idf_ngram,PassiveAggressiveClassifier,27,0.2,24487,6122,0.0731769392150701,29212,0.0338353225471838,0.0006339784464544,SQLiV3.tsv,"{1: 0.999, 0: 0.001}",-0.3
0.0257953568357695,0.0,0.0,0.0,0,60,0,2266,bert_multi_cased_L-12_H-768_A-12,bert_multi_cased_L-12_H-768_A-12,27,0.2,24487,6122,0.0,0,77.8370571880346,2.2819560863596555,SQLiV3.tsv,,
0.98921920940869,0.9742157284056724,0.9973603167619886,0.9856521739130436,2267,3789,60,6,tf-idf_ngram,PassiveAggressiveClassifier,42,0.2,24487,6122,0.0743233798092249,29216,0.0361673399734824,0.0005724849906554,SQLiV3.tsv,"{1: 0.999, 0: 0.001}",-0.3
0.9901160292221745,0.9977817213842058,0.992059991177768,0.9949126299491264,2249,55,5,18,bert_multi_cased_L-12_H-768_A-12,bert_multi_cased_L-12_H-768_A-12,42,0.2,24487,6122,0.0,0,78.18594432409725,2.2357037818426733,SQLiV3.tsv,,
0.987749101600784,0.9705631399317406,0.9973695747479177,0.9837837837837836,2275,3772,69,6,tf-idf_ngram,PassiveAggressiveClassifier,72,0.2,24487,6122,0.0746677933579241,29275,0.0338808603302711,0.0005537526586483,SQLiV3.tsv,"{1: 0.999, 0: 0.001}",-0.3
0.9756825938566552,1.0,0.9749450549450548,0.9873135989316716,2218,69,0,57,bert_multi_cased_L-12_H-768_A-12,bert_multi_cased_L-12_H-768_A-12,72,0.2,24487,6122,0.0,0,79.13993591529497,2.242622420242622,SQLiV3.tsv,,
0.98921920940869,0.9738334060183166,0.9973202322465388,0.9854368932038836,2233,3823,60,6,tf-idf_ngram,PassiveAggressiveClassifier,84,0.2,24487,6122,0.0752764543598567,29187,0.0372266849248782,0.0006037964146342,SQLiV3.tsv,"{1: 0.999, 0: 0.001}",-0.3
0.9956389010030527,1.0,0.9955217196596506,0.9977558348294434,2223,60,0,10,bert_multi_cased_L-12_H-768_A-12,bert_multi_cased_L-12_H-768_A-12,84,0.2,24487,6122,0.0,0,79.46385103466318,2.292648237239207,SQLiV3.tsv,,
