accuracy,precision,recall,f1_score,tp,tn,fp,fn,feature_method,model,seed,split_ratio,train_size,test_size,extraction_time,method,feature_size,train_time,threshold,pred_time,dataset
0.991832734,0.996870809,0.98108227,0.988913525,2230,3842,7,43,tf-idf,xgboost,42,0.2,24487,6122,0.346409112,tf-idf,21019,0.049003179,0.5,0.002398592,SQLiV3.tsv
0.982358706,0.975824176,0.976682798,0.976253298,2220,3794,55,53,tf-idf,naive_bayes,42,0.2,24487,6122,0.346409112,tf-idf,21019,0.000228378,0.5,0.000125462,SQLiV3.tsv
0.810682783,0.669095325,0.969643643,0.791808874,2204,2759,1090,69,tf-idf,svm,42,0.2,24487,6122,0.346409112,tf-idf,21019,1.885462064,0.5,0.462550495,SQLiV3.tsv
0.997386475,0.999557326,0.993400792,0.99646955,2258,3848,1,15,tf-idf_ngram,xgboost,42,0.2,24487,6122,2.168881423,tf-idf_ngram,29216,0.326708546,0.5,0.001719818,SQLiV3.tsv
0.920777524,0.832836932,0.984161901,0.902198024,2237,3400,449,36,tf-idf_ngram,naive_bayes,42,0.2,24487,6122,2.168881423,tf-idf_ngram,29216,0.000668224,0.5,0.000520686,SQLiV3.tsv
0.997059784,0.999556934,0.992520897,0.99602649,2256,3848,1,17,tf-idf_ngram,svm,42,0.2,24487,6122,2.168881423,tf-idf_ngram,29216,5.17069148,0.5,1.833779765,SQLiV3.tsv
0.996733094,0.999556541,0.991641003,0.995583039,2254,3848,1,19,bag_of_characters,xgboost,42,0.2,24487,6122,0.479858218,bag_of_characters,77,0.115065826,0.5,0.001071927,SQLiV3.tsv
0.854949363,0.758491975,0.893972723,0.820678514,2032,3202,647,241,bag_of_characters,naive_bayes,42,0.2,24487,6122,0.479858218,bag_of_characters,77,0.000257034,0.5,0.000154914,SQLiV3.tsv
0.991669389,0.994657168,0.982842059,0.988714317,2234,3837,12,39,bag_of_characters,svm,42,0.2,24487,6122,0.479858218,bag_of_characters,77,0.237445952,0.5,0.205576305,SQLiV3.tsv
0.996733094,1,0.991201056,0.995581087,2253,3849,0,20,"tf-idf, tf-idf_ngram, bag_of_characters",ensemble_1,42,0.2,24487,6122,8.985446259,,150936,16.77097694,,2.510821395,SQLiV3.tsv
0.996569748,1,0.990761109,0.995359116,2252,3849,0,21,"tf-idf, tf-idf_ngram, bag_of_characters",ensemble_2,42,0.2,24487,6122,8.985446259,,150936,16.77097694,,2.513417541,SQLiV3.tsv
0.994119569,0.99556934,0.988561373,0.99205298,2247,3839,10,26,"tf-idf, tf-idf_ngram, bag_of_characters",ensemble_4,42,0.2,24487,6122,0.188310991,,50312,2.510234942,,1.408177695,SQLiV3.tsv
0.997876511,0.996485062,0.997800264,0.997142229,2268,3841,8,5,bert_en_uncased_L-12_H-768_A-12,bert_en_uncased_L-12_H-768_A-12,42,0.2,24487,6122,0,,0,71.06877241,,2.108164178,SQLiV3.tsv
0.997876511,0.999116608,0.995160581,0.99713467,2262,3847,2,11,bert_en_cased_L-12_H-768_A-12,bert_en_cased_L-12_H-768_A-12,42,0.2,24487,6122,0,,0,70.81237946,,2.125542135,SQLiV3.tsv
0.997713166,1,0.993840739,0.996910856,2259,3849,0,14,small_bert/bert_en_uncased_L-2_H-128_A-2,small_bert/bert_en_uncased_L-2_H-128_A-2,42,0.2,24487,6122,0,,0,23.92543859,,1.29800554,SQLiV3.tsv
0.998366547,0.999558499,0.996040475,0.997796386,2264,3848,1,9,small_bert/bert_en_uncased_L-4_H-512_A-8,small_bert/bert_en_uncased_L-4_H-512_A-8,42,0.2,24487,6122,0,,0,32.35893613,,1.450904286,SQLiV3.tsv
0.997713166,0.998235554,0.995600528,0.9969163,2263,3845,4,10,small_bert/bert_en_uncased_L-8_H-128_A-2,small_bert/bert_en_uncased_L-8_H-128_A-2,42,0.2,24487,6122,0,,0,44.88944071,,1.76364567,SQLiV3.tsv
0.994282914,0.999553571,0.985041795,0.992244627,2239,3848,1,34,small_bert/bert_en_uncased_L-12_H-768_A-12,small_bert/bert_en_uncased_L-12_H-768_A-12,42,0.2,24487,6122,0,,0,71.34474909,,2.10295842,SQLiV3.tsv
0.900522705,0.7907058,0.995600528,0.881402142,2263,3250,599,10,bert_multi_cased_L-12_H-768_A-12,bert_multi_cased_L-12_H-768_A-12,42,0.2,24487,6122,0,,0,80.70813759,,2.108725447,SQLiV3.tsv
0.994446259,0.999553771,0.985481742,0.992467878,2240,3848,1,33,albert_en_base,albert_en_base,42,0.2,24487,6122,0,,0,67.29904501,,2.044205337,SQLiV3.tsv
0.998529892,0.999118166,0.99692037,0.998018058,2266,3847,2,7,electra_base,electra_base,42,0.2,24487,6122,0,,0,71.34939286,,2.104054982,SQLiV3.tsv
0.998529892,0.999118166,0.99692037,0.998018058,2266,3847,2,7,electra_small,electra_small,42,0.2,24487,6122,0,,0,59.94284444,,1.954331113,SQLiV3.tsv
