accuracy,precision,recall,f1_score,tp,tn,fp,fn,feature_method,model,seed,split_ratio,train_size,test_size,extraction_time,method,feature_size,train_time,def_pred_threshold,pred_time,dataset
0.99722313,0.999113868,0.99339207,0.996244754,2255,3850,2,15,tf-idf_ngram,XGBoost,13,0.2,24487,6122,2.213626782,tf-idf_ngram,29157,0.737760261,0.5,0.001751727,SQLiV3.tsv
0.919960797,0.828413284,0.988986784,0.901606426,2245,3387,465,25,tf-idf_ngram,MultinomialNB,13,0.2,24487,6122,2.213626782,tf-idf_ngram,29157,0.000665688,0.5,0.000506844,SQLiV3.tsv
0.998039856,1,0.994713656,0.997349823,2258,3852,0,12,tf-idf_ngram,SVM_RBF,13,0.2,24487,6122,2.213626782,tf-idf_ngram,29157,4.97567726,0.5,2.098391697,SQLiV3.tsv
0.993466188,0.999104745,0.983259912,0.991119005,2232,3850,2,38,tf-idf_ngram,MLPClassifier,13,0.2,24487,6122,2.213626782,tf-idf_ngram,29157,1.61691449,0.5,0.003334695,SQLiV3.tsv
0.983665469,0.983942908,0.971806167,0.977836879,2206,3816,36,64,tf-idf_ngram,KNeighborsClassifier,13,0.2,24487,6122,2.213626782,tf-idf_ngram,29157,0.000723099,0.5,31.6990312,SQLiV3.tsv
0.95785691,0.985990338,0.899118943,0.940552995,2041,3823,29,229,tf-idf_ngram,NearestCentroid,13,0.2,24487,6122,2.213626782,tf-idf_ngram,29157,0.001326884,0.5,0.000806385,SQLiV3.tsv
0.821300229,0.682269064,0.969603524,0.800946143,2201,2827,1025,69,tf-idf_ngram,RadiusNeighborsClassifier,13,0.2,24487,6122,2.213626782,tf-idf_ngram,29157,0.000374892,0.5,31.67681999,SQLiV3.tsv
0.997059784,1,0.992070485,0.99601946,2252,3852,0,18,tf-idf_ngram,SVC-GC,13,0.2,24487,6122,2.213626782,tf-idf_ngram,29157,11.4389601,0.5,3.78423409,SQLiV3.tsv
0.93449853,1,0.823348018,0.903116695,1869,3852,0,401,tf-idf_ngram,NuSVC,13,0.2,24487,6122,2.213626782,tf-idf_ngram,29157,15.73463094,0.5,7.827192449,SQLiV3.tsv
0.998366547,1,0.995594714,0.997792494,2260,3852,0,10,tf-idf_ngram,LinearSVC,13,0.2,24487,6122,2.213626782,tf-idf_ngram,29157,0.006215326,0.5,0.000294737,SQLiV3.tsv
0.988565828,0.994604317,0.974449339,0.984423676,2212,3840,12,58,tf-idf_ngram,DecisionTreeClassifier,13,0.2,24487,6122,2.213626782,tf-idf_ngram,29157,0.073449684,0.5,0.000672777,SQLiV3.tsv
0.994446259,0.996447602,0.988546256,0.992481203,2244,3844,8,26,tf-idf_ngram,AdaBoostClassifier,13,0.2,24487,6122,2.213626782,tf-idf_ngram,29157,0.830914719,0.5,0.025272991,SQLiV3.tsv
0.995753022,0.997340426,0.991189427,0.994255413,2250,3846,6,20,tf-idf_ngram,BaggingClassifier,13,0.2,24487,6122,2.213626782,tf-idf_ngram,29157,2.456596729,0.5,0.011908451,SQLiV3.tsv
0.998366547,1,0.995594714,0.997792494,2260,3852,0,10,tf-idf_ngram,ExtraTreesClassifier,13,0.2,24487,6122,2.213626782,tf-idf_ngram,29157,0.437718133,0.5,0.055337827,SQLiV3.tsv
0.997386475,1,0.992951542,0.996463307,2254,3852,0,16,tf-idf_ngram,RidgeClassifier,13,0.2,24487,6122,2.213626782,tf-idf_ngram,29157,0.071149098,0.5,0.000343953,SQLiV3.tsv
0.99722313,1,0.992511013,0.996241433,2253,3852,0,17,tf-idf_ngram,SGDClassifier,13,0.2,24487,6122,2.213626782,tf-idf_ngram,29157,0.005071737,0.5,0.00035694,SQLiV3.tsv
0.997713166,0.997354497,0.996475771,0.996914941,2262,3846,6,8,tf-idf_ngram,Perceptron,13,0.2,24487,6122,2.213626782,tf-idf_ngram,29157,0.002683549,0.5,0.000346378,SQLiV3.tsv
0.995753022,0.99911032,0.989427313,0.994245241,2246,3850,2,24,tf-idf_ngram,LogisticRegression,13,0.2,24487,6122,2.213626782,tf-idf_ngram,29157,0.066138744,0.5,0.000335758,SQLiV3.tsv
0.998693238,1,0.996475771,0.998234775,2262,3852,0,8,tf-idf_ngram,PassiveAggressiveClassifier,13,0.2,24487,6122,2.213626782,tf-idf_ngram,29157,0.004898591,0.5,0.000356525,SQLiV3.tsv
0.99722313,0.999113868,0.99339207,0.996244754,2255,3850,2,15,tf-idf_ngram,OneVsRestClassifier,13,0.2,24487,6122,2.213626782,tf-idf_ngram,29157,0.39474983,0.5,0.002603306,SQLiV3.tsv
0.99722313,0.999113868,0.99339207,0.996244754,2255,3850,2,15,tf-idf_ngram,OneVsOneClassifier,13,0.2,24487,6122,2.213626782,tf-idf_ngram,29157,0.319380551,0.5,0.006270703,SQLiV3.tsv
0.98154198,0.973649539,0.976651982,0.97514845,2217,3792,60,53,tf-idf,MultinomialNB,13,0.2,24487,6122,0.273745295,tf-idf,20946,0.000228765,0.5,0.000123004,SQLiV3.tsv
0.991506044,0.995974955,0.981057269,0.988459831,2227,3843,9,43,tf-idf,XGBoost,13,0.2,24487,6122,0.273745295,tf-idf,20946,0.044553835,0.5,0.001351788,SQLiV3.tsv
0.809376021,0.667070585,0.970044053,0.790522348,2202,2753,1099,68,tf-idf,SVM_RBF,13,0.2,24487,6122,0.273745295,tf-idf,20946,1.860935221,0.5,0.492205424,SQLiV3.tsv
0.919960797,0.828413284,0.988986784,0.901606426,2245,3387,465,25,tf-idf_ngram,MultinomialNB,13,0.2,24487,6122,2.174943273,tf-idf_ngram,29157,0.00070746,0.5,0.00051237,SQLiV3.tsv
0.99722313,0.999113868,0.99339207,0.996244754,2255,3850,2,15,tf-idf_ngram,XGBoost,13,0.2,24487,6122,2.174943273,tf-idf_ngram,29157,0.391853177,0.5,0.001820842,SQLiV3.tsv
0.998039856,1,0.994713656,0.997349823,2258,3852,0,12,tf-idf_ngram,SVM_RBF,13,0.2,24487,6122,2.174943273,tf-idf_ngram,29157,5.035939205,0.5,2.105945727,SQLiV3.tsv
0.857236197,0.758710156,0.901762115,0.824074074,2047,3201,651,223,bag_of_characters,MultinomialNB,13,0.2,24487,6122,0.488136788,bag_of_characters,76,0.000249276,0.5,0.00014216,SQLiV3.tsv
0.997059784,0.999113475,0.992951542,0.996022978,2254,3850,2,16,bag_of_characters,XGBoost,13,0.2,24487,6122,0.488136788,bag_of_characters,76,0.034370043,0.5,0.000980993,SQLiV3.tsv
0.990689317,0.992873051,0.981938326,0.987375415,2229,3836,16,41,bag_of_characters,SVM_RBF,13,0.2,24487,6122,0.488136788,bag_of_characters,76,0.230615872,0.5,0.232105661,SQLiV3.tsv
0.99754982,0.999115436,0.994278169,0.996690933,2259,3848,2,13,tf-idf_ngram,XGBoost,27,0.2,24487,6122,2.20506704,tf-idf_ngram,29212,0.320592041,0.5,0.001720625,SQLiV3.tsv
0.920614178,0.830740741,0.987235915,0.902252615,2243,3393,457,29,tf-idf_ngram,MultinomialNB,27,0.2,24487,6122,2.20506704,tf-idf_ngram,29212,0.000691043,0.5,0.000540566,SQLiV3.tsv
0.997059784,0.99911426,0.992957746,0.99602649,2256,3848,2,16,tf-idf_ngram,SVM_RBF,27,0.2,24487,6122,2.20506704,tf-idf_ngram,29212,5.080162646,0.5,2.148760116,SQLiV3.tsv
0.990689317,0.99820063,0.976672535,0.987319244,2219,3846,4,53,tf-idf_ngram,MLPClassifier,27,0.2,24487,6122,2.20506704,tf-idf_ngram,29212,1.6401705,0.5,0.003483552,SQLiV3.tsv
0.981705325,0.985175202,0.965228873,0.975100044,2193,3817,33,79,tf-idf_ngram,KNeighborsClassifier,27,0.2,24487,6122,2.20506704,tf-idf_ngram,29212,0.000414111,0.5,31.75966743,SQLiV3.tsv
0.958020255,0.987421384,0.898327465,0.940769763,2041,3824,26,231,tf-idf_ngram,NearestCentroid,27,0.2,24487,6122,2.20506704,tf-idf_ngram,29212,0.001056866,0.5,0.000838338,SQLiV3.tsv
0.827670696,0.690692573,0.970070423,0.806882665,2204,2863,987,68,tf-idf_ngram,RadiusNeighborsClassifier,27,0.2,24487,6122,2.20506704,tf-idf_ngram,29212,0.000381717,0.5,31.80368515,SQLiV3.tsv
0.996243058,0.999112295,0.990757042,0.994917127,2251,3848,2,21,tf-idf_ngram,SVC-GC,27,0.2,24487,6122,2.20506704,tf-idf_ngram,29212,11.03273616,0.5,3.820981713,SQLiV3.tsv
0.937602091,0.998944034,0.832746479,0.908305329,1892,3848,2,380,tf-idf_ngram,NuSVC,27,0.2,24487,6122,2.20506704,tf-idf_ngram,29212,15.53309904,0.5,7.862824824,SQLiV3.tsv
